CMDLINE /Users/georgiosmitsos/anaconda3/bin/python artificialneuralnetwork.py
MEM 253.593750 1708550861.9341
MEM 253.609375 1708550862.0405
MEM 253.609375 1708550862.1463
MEM 253.609375 1708550862.2569
MEM 253.609375 1708550862.3668
MEM 253.687500 1708550862.4762
MEM 253.687500 1708550862.5802
MEM 253.718750 1708550862.6854
MEM 253.718750 1708550862.7924
MEM 253.718750 1708550862.8981
MEM 253.718750 1708550863.0051
MEM 253.718750 1708550863.1116
MEM 253.750000 1708550863.2168
MEM 254.031250 1708550863.3212
MEM 254.031250 1708550863.4279
MEM 254.031250 1708550863.5318
MEM 254.406250 1708550863.6418
MEM 254.406250 1708550863.7467
MEM 254.421875 1708550863.8554
MEM 254.421875 1708550863.9634
MEM 254.421875 1708550864.0765
MEM 254.421875 1708550864.1833
MEM 254.421875 1708550864.2927
MEM 254.421875 1708550864.3979
MEM 254.421875 1708550864.5062
MEM 254.421875 1708550864.6150
MEM 254.421875 1708550864.7219
MEM 254.421875 1708550864.8351
MEM 254.421875 1708550864.9451
MEM 254.421875 1708550865.0504
MEM 254.453125 1708550865.1557
MEM 254.453125 1708550865.2612
MEM 254.500000 1708550865.3691
MEM 254.500000 1708550865.4729
MEM 254.500000 1708550865.5783
FUNC __main__.main 110.9531 1708550844.8959 197.2500 1708550866.4403 0
MEM 254.500000 1708550865.6909
MEM 254.500000 1708550865.8074
MEM 248.078125 1708550865.9217
MEM 248.109375 1708550866.0293
MEM 177.640625 1708550866.1351
MEM 192.546875 1708550866.2457
MEM 193.578125 1708550866.3495
MEM 207.718750 1708550866.4555
MEM 214.296875 1708550866.5627
